PGIns2 / PGUni2,PGIns_Class
NORTH ORISSA UNIVERSITY,UNKNOWN
"NSB SCHOOL OF BUSINESS, DELHI",UNKNOWN
NTU,UNKNOWN
O P JINDALGLOBAL UNIVERSITY,UNKNOWN
OSMANIA UNIVERSITY,TIER_3
Others,UNKNOWN
P G COLLEGE,UNKNOWN
PACIFIC INST OF MGT & TECHN,TIER_3
PACIFIC UNIVERSITY,TIER_3
PADMASHREE DR D Y PATIL UNIVER,UNKNOWN
PANBAZAR GIRLS HIGHER SECONDARY SCHOOL,UNKNOWN
parle tilak vidyalaya association’s stitute of management mumbai,UNKNOWN
PARUL INST OF MGMT & RESEARCH,UNKNOWN
Parul Institute of Mgmt,UNKNOWN
PATNA UNIVERSITY,UNKNOWN
"PCTE, Ludhiana",TIER_3
PERIYAR UNIVERSITY,UNKNOWN
PESIT,UNKNOWN
PILLAI INST OF MGT STU & RES,UNKNOWN
"PIMR, Indore",UNKNOWN
PONDICHERRY UNIVERSITY,TIER_3
"POORNIMA UNIVERSITY, JAIPUR",UNKNOWN
PRESENTLY WORKG AXIS BANK LTD SCE NOVEMBER  AS MANAGER,UNKNOWN
PRIST UNIVERSITY,UNKNOWN
"PRIST UNIVERSITY, THANJAVUR",UNKNOWN
PROFESSIONAL QUALIFICATION,UNKNOWN
PUNE INST OF BUSS MGMT(PIBM),UNKNOWN
PUNE UNIVERSITY,UNKNOWN
"PUNJAB AGRI UNI, LUDHUANA",UNKNOWN
PUNJAB CLG OF TEC EDU LUDHIANA,TIER_3
PUNJAB SCHOOL,UNKNOWN
"PUNJAB TECH UNI, JALANDHAR",TIER_3
PUNJAB TECHNICAL UNIVERSITY,TIER_3
"Punjab Technical University, Jalandhar",TIER_3
PUNJAB UNIVERSITY,TIER_3
"PUNJAB UNIVERSITY, CHANDIGARH",TIER_3
PUNJABI UNIV - MOHALI,TIER_3
PUNJABI UNIV - PATIALA,TIER_3
PURSUG  SCDL PUNE DISTANCE LEARNG PROGRAMME,UNKNOWN
R DURGVATI VIDYALAYA -JABALPUR,UNKNOWN
R.L.I.M.S,UNKNOWN
"RABINDRA BHARATI UNI, KOLKATA",UNKNOWN
RABINDRA BHARATI UNIVERSITY,UNKNOWN
RAI UNIVERSITY,UNKNOWN
RAJASTHAN AGRICULTURE UNI,UNKNOWN
RAJASTHAN TECHNICAL UNIVERSITY,TIER_3
RAJASTHAN UNIVERSITY,TIER_3
RAJIV GANDHI PRODYOGIKI VISH,UNKNOWN
RAKSHPAL BAHADUR MGT INST,UNKNOWN
RANCHI UNIVERSITY,UNKNOWN
RAVENSHAW UNIVERSITY,UNKNOWN
RAVI SHANKAR SHUKLA UNI RAIPUR,UNKNOWN
"REGIONAL CLG OF MGT, ODISHA",UNKNOWN
Rizvi Academy of Management,TIER_3
"ROHILKHAND UNIV, BAREILLY",UNKNOWN
ROURKELA INSTITUTE OF MANAGEMENT STUDIES,UNKNOWN
RUSSIAN STATE SOCIAL UNIVRSITY,UNKNOWN
S D  COLLEGE,UNKNOWN
S S  KALIBADI H S SCHOOL,UNKNOWN
S V P  HIGHSCHOOL,UNKNOWN
SACRED HEART TER COLLEGE,UNKNOWN
SAMBALPUR UNIVERSITY,UNKNOWN
SAMHIGG INST OF AGRI TECH SCI,UNKNOWN
SANT GADGEBABA AMRAVATI UNI,UNKNOWN
SARDAR PATEL UNIVERSITY,UNKNOWN
"SASTRA UNIVERSITY, THANJAVUR",UNKNOWN
SATAVAHANA UNIVERSITY,UNKNOWN
SATHYABAMA UNIVERSITY,UNKNOWN
"SATHYABAMA UNIVERSITY, CHENNAI",UNKNOWN
SAURASHTRA UNIVERSITY,UNKNOWN
"SAURASHTRA UNIVERSITY, GUJRAT",UNKNOWN
SCDL,UNKNOWN
SCH OF COMM & MGT STUD COCHIN,TIER_3
"School of Communication and Management Studies, Cochin",TIER_3
sdf,UNKNOWN
sdfdgghghgfd,UNKNOWN
Select,UNKNOWN
--Select--,UNKNOWN
Sharda University,UNKNOWN
shgad busess school,UNKNOWN
SHGAD COLLEGE,UNKNOWN
SHIVA INST OF MGT STUDIES,UNKNOWN
SHIVAJI UNIVERSITY KOLHAPUR,UNKNOWN
SHOBHIT UNIVERSITY,UNKNOWN
SHOOLINI UNIVERSITY,TIER_3
"SHRI MATAVAISHNODEVI UNI,J&K",UNKNOWN
Shri vaihnav institute of mgmt,UNKNOWN
SHRIDHAR UNIVERSITY,UNKNOWN
"SIBM, PUNE",TIER_1
"SIES, MUMBAI",TIER_3
Sikkim Manipal,TIER_3
SIKKIM MANIPAL INS OF TECH,TIER_3
SIKKIM MANIPAL UNIVERSITY,TIER_3
"SIMS, PUNE",TIER_2
"SINGHANIA UNIVERSITY, PACHERI",UNKNOWN
"SINHGAD BUSINESS SCHOOL , PUNE",TIER_3
SINHGAD INS OF BUS ADM PUNE,TIER_3
Sinhgad Institute of Mgt -pune,TIER_3
SLCs INSTITUTE OF ENNG AND TECHNOLOGY,UNKNOWN
SOLAPUR UNIVERSITY,UNKNOWN
Somlalit,UNKNOWN
SOUTH GUJARAT UNIVERSITY,UNKNOWN
